"";"DisNo.";"Historic";"Classification Key";"Disaster Group";"Disaster Subgroup";"Disaster Type";"Disaster Subtype";"External IDs";"Event Name";"ISO";"Country";"Subregion";"Region";"Location";"Origin";"Associated Types";"OFDA Response";"Appeal";"Declaration";"AID Contribution ('000 US$)";"Magnitude";"Magnitude Scale";"Latitude";"Longitude";"River Basin";"Start Year";"Start Month";"Start Day";"End Year";"End Month";"End Day";"Total Deaths";"No. Injured";"No. Affected";"No. Homeless";"Total Affected";"Reconstruction Costs ('000 US$)";"Reconstruction Costs, Adjusted ('000 US$)";"Insured Damage ('000 US$)";"Insured Damage, Adjusted ('000 US$)";"Total Damage ('000 US$)";"Total Damage, Adjusted ('000 US$)";"CPI";"Admin Units";"Entry Date";"Last Update"
"72";"2011-0379-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Typhoon Pedring (Nesat)";"CHN";"China";"Eastern Asia";"Asia";"Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces";NA;"Flood";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2011;9;29;2011;10;3;3;NA;1e+06;NA;1e+06;NA;NA;NA;NA;219000;284928;76,8615953778198;"[{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""}]";"2012-01-24";"2023-09-25"
"73";"2012-0259-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Typhoon Vicente";"CHN";"China";"Eastern Asia";"Asia";"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Fujian Sheng provinces";NA;"Flood";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2012;7;24;2012;7;24;8;NA;58500;NA;58500;NA;NA;NA;NA;329000;419364;78,4521138829002;"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""}]";"2013-02-05";"2023-09-25"
"74";"2012-0260-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";"GLIDE:TC-2012-000125";"Tropical storm Gener (Saola)";"CHN";"China";"Eastern Asia";"Asia";"Hubei Sheng, Fujian Sheng, Zhejiang Sheng province";NA;"Flood|Slide (land, mud, snow, rock)";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2012;8;8;2012;8;8;34;NA;183630;48540;232170;NA;NA;NA;NA;124000;158058;78,4521138829002;"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]";"2013-02-06";"2023-09-25"
"75";"2012-0282-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Typhoon Haikui";"CHN";"China";"Eastern Asia";"Asia";"Jiangxi Sheng, Shanghai Shi, Anhui Sheng, Jiangsu Sheng, Zhejiang Sheng provinces";NA;NA;"No";"No";"No";NA;150;"Kph";NA;NA;NA;2012;8;8;2012;8;8;3;7;6e+06;NA;6000007;NA;NA;230000;293172;1500000;1911994;78,4521138829002;"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":913,""adm1_name"":""Jiangsu Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":922,""adm1_name"":""Shanghai Shi""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]";"2012-08-13";"2023-09-25"
"76";"2012-0283-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Typhoon Damrey";"CHN";"China";"Eastern Asia";"Asia";"Jiangsu Sheng, Shandong Sheng provinces";NA;"Flood";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2012;8;2;2012;8;8;15;NA;3790000;NA;3790000;NA;NA;106000;135114;6e+05;764798;78,4521138829002;"[{""adm1_code"":913,""adm1_name"":""Jiangsu Sheng""},{""adm1_code"":921,""adm1_name"":""Shandong Sheng""}]";"2013-03-28";"2023-09-25"
"77";"2012-0294-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"TYphoon Kai-Tak";"CHN";"China";"Eastern Asia";"Asia";"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu provinces";NA;NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2012;8;17;2012;8;17;2;NA;107500;NA;107500;NA;NA;NA;NA;262000;333962;78,4521138829002;"[{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""}]";"2013-02-06";"2023-09-25"
"78";"2012-0406-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";"GLIDE:TC-2012-000181";"Typhoon Son Tinh (Ofel)";"CHN";"China";"Eastern Asia";"Asia";"Hainan Sheng, Guangxi Zhuangzu Zizhiqu provinces";NA;NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2012;10;28;2012;10;28;1;NA;126000;NA;126000;NA;NA;NA;NA;197000;251109;78,4521138829002;"[{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""}]";"2012-11-09";"2023-09-25"
"79";"2012-0570-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Guizhou Sheng, Guangdong Sheng provinces";NA;NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2012;4;5;2012;4;5;NA;NA;1e+05;NA;1e+05;NA;NA;NA;NA;120000;152960;78,4521138829002;"[{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""}]";"2013-02-04";"2023-09-25"
"80";"2012-0571-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Anhui Sheng, Henan Sheng, Hubei Sheng, Jiangsu Sheng province";NA;NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2012;4;20;2012;4;24;12;NA;127000;NA;127000;NA;NA;NA;NA;84000;107072;78,4521138829002;"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":909,""adm1_name"":""Henan Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":913,""adm1_name"":""Jiangsu Sheng""}]";"2013-02-11";"2023-09-25"
"81";"2013-0065-CHN";"No";"nat-met-sto-bli";"Natural";"Meteorological";"Storm";"Blizzard/Winter storm";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Anhui Sheng, Hubei Sheng, Jiangsu Sheng provinces";NA;NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2013;2;18;2013;2;21;2;NA;13500;NA;13500;NA;NA;NA;NA;124000;155776;79,6013094233451;"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":913,""adm1_name"":""Jiangsu Sheng""}]";"2013-03-11";"2023-09-25"
"82";"2013-0084-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Dongguan district (Guangdong Sheng province), Fujian Sheng, Jiangxi Sheng, Hunan Sheng, Guizhou Sheng, Hubei Sheng, Sichuan Sheng provinces";NA;"Hail|Rain";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2013;3;18;2013;3;20;25;324;1398000;NA;1398324;NA;NA;NA;NA;259000;325372;79,6013094233451;"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm2_code"":13044,""adm2_name"":""Dongguan""}]";"2014-03-20";"2023-09-25"
"83";"2013-0089-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Hainan Sheng, Guangxi Zhuangzu Zizhiqu, Yunnan Sheng, Guangdong Sheng provinces";NA;"Hail";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2013;3;29;2013;3;30;3;NA;25000;NA;25000;NA;NA;NA;NA;26000;32663;79,6013094233451;"[{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]";"2013-04-08";"2023-09-25"
"84";"2013-0222-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hainan Sheng, Heilongjiang Sheng, Hunan Sheng, Jiangxi Sheng, Jilin Sheng, Liaoning Sheng, Nei Mongol Zizhiqu, Yunnan Sheng provinces";NA;"Hail|Rain";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2013;6;23;2013;6;25;11;NA;50000;NA;50000;NA;NA;NA;NA;118000;148239;79,6013094233451;"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""},{""adm1_code"":908,""adm1_name"":""Heilongjiang Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":915,""adm1_name"":""Jilin Sheng""},{""adm1_code"":916,""adm1_name"":""Liaoning Sheng""},{""adm1_code"":917,""adm1_name"":""Nei Mongol Zizhiqu""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]";"2013-07-18";"2023-09-25"
"85";"2013-0249-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Typhoon Soulik";"CHN";"China";"Eastern Asia";"Asia";"Guangdong Sheng, Fujian Sheng, Zhejiang Sheng, Jiangxi Sheng, Anhui Sheng provinces";NA;NA;"No";"No";"No";NA;120;"Kph";NA;NA;NA;2013;7;14;2013;7;14;9;150;390000;NA;390150;NA;NA;NA;NA;460000;577880;79,6013094233451;"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]";"2013-08-27";"2023-09-25"
"86";"2013-0258-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Typhoon Rumbia";"CHN";"China";"Eastern Asia";"Asia";"Guangxi Zhuangzu Zizhiqu, Yunnan Sheng provinces";NA;NA;"No";"No";"No";NA;110;"Kph";NA;NA;NA;2013;7;1;2013;7;1;7;NA;21000;NA;21000;NA;NA;NA;NA;177000;222358;79,6013094233451;"[{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]";"2013-11-27";"2023-09-25"
"87";"2013-0261-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Tropical storm Ciramon";"CHN";"China";"Eastern Asia";"Asia";"Guangdong Sheng, Zheijiang Sheng, Fujian Sheng provinces";NA;NA;"No";"No";"No";NA;101850,92;"Kph";25,8633;118,14;NA;2013;7;13;2013;7;15;1;NA;3000;NA;3000;NA;NA;NA;NA;253000;317834;79,6013094233451;"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]";"2013-08-27";"2023-09-25"
"88";"2013-0272-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Tropical storm Utor (Labuyo)";"CHN";"China";"Eastern Asia";"Asia";"Hunan Sheng, Guangxi Zhuangzu Zizhiqu, Guangdong Sheng, Hainan Sheng provinces";NA;"Flood";"No";"No";"No";NA;98182,91;"Kph";22,7696;113,69;NA;2013;8;15;2013;8;21;88;NA;8e+06;NA;8e+06;NA;NA;NA;NA;2120000;2663273;79,6013094233451;"[{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""}]";"2013-11-21";"2023-09-25"
"89";"2013-0306-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Typhoon Trami (Maring)";"CHN";"China";"Eastern Asia";"Asia";"Fuqing Shi, Fuzhou Shi areas (Fuzhou district, Fujian Sheng province), Ningde, Putian, Sanming district (Fujian Sheng province)";NA;"Flood";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2013;8;22;2013;8;22;NA;NA;189800;NA;189800;NA;NA;NA;NA;376000;472354;79,6013094233451;"[{""adm2_code"":13005,""adm2_name"":""Fuzhou""},{""adm2_code"":13007,""adm2_name"":""Putian""},{""adm2_code"":13008,""adm2_name"":""Sanming""},{""adm2_code"":13013,""adm2_name"":""Ningde""}]";"2014-04-07";"2023-09-25"
"90";"2013-0341-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Tropical storm Jebi";"CHN";"China";"Eastern Asia";"Asia";"Hainan Sheng province";NA;"Flood";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2013;8;2;2013;8;3;NA;NA;5000;NA;5000;NA;NA;NA;NA;20000;25125;79,6013094233451;"[{""adm1_code"":906,""adm1_name"":""Hainan Sheng""}]";"2013-09-10";"2023-09-25"
"91";"2013-0429-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Tropical storm Fitow";"CHN";"China";"Eastern Asia";"Asia";"Fujian Sheng, Zhejiang Sheng, Shanghai Shi provinces";NA;"Flood|Surge";"No";"No";"No";NA;160;"Kph";NA;NA;NA;2013;10;7;2013;10;8;8;NA;475000;NA;475000;NA;NA;NA;NA;6700000;8416947;79,6013094233451;"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":922,""adm1_name"":""Shanghai Shi""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]";"2013-11-26";"2023-09-25"
"92";"2013-0567-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Jiangxi Sheng, Guangxi Zhuangzu Zizhiqu provinces";NA;NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2013;4;28;2013;5;2;12;NA;217000;NA;217000;NA;NA;NA;NA;154000;193464;79,6013094233451;"[{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""}]";"2014-01-20";"2023-09-25"
"93";"2014-0085-CHN";"No";"nat-met-sto-bli";"Natural";"Meteorological";"Storm";"Blizzard/Winter storm";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Jiangxi Sheng, Hubei Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Yunnan Sheng, Hainan Sheng provinces";NA;"Cold wave";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2014;2;7;2014;2;14;10;90;1e+05;NA;100090;NA;NA;NA;NA;675000;834439;80,8926237222027;"[{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]";"2014-03-06";"2023-09-25"
"94";"2014-0107-CHN";"No";"nat-met-sto-bli";"Natural";"Meteorological";"Storm";"Blizzard/Winter storm";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Sichuan Sheng, Xinjiang Uygur Zizhiqu, Henan Sheng provinces";NA;NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2014;3;12;2014;3;14;1;NA;10000;NA;10000;NA;NA;NA;NA;50000;61810;80,8926237222027;"[{""adm1_code"":909,""adm1_name"":""Henan Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":927,""adm1_name"":""Xinjiang Uygur Zizhiqu""}]";"2014-04-15";"2023-09-25"
"95";"2014-0110-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Fujian Sheng, Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi, Guizhou Sheng provinces";NA;"Flood|Hail";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2014;3;27;2014;4;4;21;NA;4e+05;NA;4e+05;NA;NA;NA;NA;155000;191612;80,8926237222027;"[{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""}]";"2014-04-15";"2023-09-25"
"96";"2014-0132-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Sichuan Sheng, Chongqing Shi, Anhui Sheng, Hubei Sheng, Guizhou Sheng provinces";"Days of rains and hails";NA;"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2014;4;16;2014;4;20;3;NA;1e+05;NA;1e+05;NA;NA;NA;NA;156000;192848;80,8926237222027;"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""}]";"2014-05-09";"2023-09-25"
"97";"2014-0133-CHN";"No";"nat-met-sto-sev";"Natural";"Meteorological";"Storm";"Severe weather";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Xinjiang Uygur Zizhiqu, Shaanxi Sheng, Guangxi Zhuangzu Zizhiqu, Hunan Sheng, Jiangxi Sheng, Qinghai Sheng provinces";NA;"Flood|Hail";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2014;4;22;2014;4;28;9;NA;25000;NA;25000;NA;NA;NA;NA;456000;563710;80,8926237222027;"[{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":919,""adm1_name"":""Qinghai Sheng""},{""adm1_code"":920,""adm1_name"":""Shaanxi Sheng""},{""adm1_code"":927,""adm1_name"":""Xinjiang Uygur Zizhiqu""}]";"2014-05-09";"2023-09-25"
"98";"2014-0213-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";NA;"Hagibis";"CHN";"China";"Eastern Asia";"Asia";"Shantou district (Guangdong Sheng province), Fujian Sheng province";NA;"Flood";"No";"No";"No";NA;80;"Kph";NA;NA;NA;2014;6;14;2014;6;16;NA;NA;5000;NA;5000;NA;NA;NA;NA;131000;161943;80,8926237222027;"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm2_code"":13032,""adm2_name"":""Shantou""}]";"2014-07-15";"2023-09-25"
"99";"2014-0214-CHN";"No";"nat-met-sto-lig";"Natural";"Meteorological";"Storm";"Lightning/Thunderstorms";NA;NA;"CHN";"China";"Eastern Asia";"Asia";"Anhui Sheng, Chongqing Shi, Fujian Sheng, Gansu Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hainan Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Liaoning Sheng, Ningxia Huizu Zizhiqu, Qinghai Sheng, Shaanxi Sheng, Shandong Sheng, Sichuan Sheng, Xinjiang Uygur Zizhiqu, Yunnan Sheng, Zhejiang Sheng provinces";"Heavy monsoonal rain";"Flood|Slide (land, mud, snow, rock)";"No";"No";"No";NA;NA;"Kph";NA;NA;NA;2014;6;17;2014;6;21;11;NA;NA;25000;25000;NA;NA;NA;NA;94000;116203;80,8926237222027;"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":902,""adm1_name"":""Gansu Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""},{""adm1_code"":909,""adm1_name"":""Henan Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":913,""adm1_name"":""Jiangsu Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":916,""adm1_name"":""Liaoning Sheng""},{""adm1_code"":918,""adm1_name"":""Ningxia Huizu Zizhiqu""},{""adm1_code"":919,""adm1_name"":""Qinghai Sheng""},{""adm1_code"":920,""adm1_name"":""Shaanxi Sheng""},{""adm1_code"":921,""adm1_name"":""Shandong Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":927,""adm1_name"":""Xinjiang Uygur Zizhiqu""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]";"2014-07-15";"2023-09-25"
"100";"2014-0227-CHN";"No";"nat-met-sto-tro";"Natural";"Meteorological";"Storm";"Tropical cyclone";"GLIDE:TC-2014-000092";"Typhoon Rammasun (Glenda)";"CHN";"China";"Eastern Asia";"Asia";"Hainan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Yunnan Sheng provinces";NA;"Flood|Slide (land, mud, snow, rock)";"No";"No";"No";NA;200;"Kph";NA;NA;NA;2014;7;18;2014;7;19;71;99;9960000;NA;9960099;NA;NA;NA;NA;4232973;5232829;80,8926237222027;"[{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]";"2014-07-22";"2023-09-25"
